Date,SpeciesID,Treatment_temp,Treatment_water,red_class,green_class,blue_class,red,green,blue,col_hex,col_freq,col_total,col_share
2021-11-19,PIPO49,Ambient,Drought,129-160,129-160,97-128,145,144,112,#919070,266899,1215365,22
2021-11-19,PIPO34,Ambient+HW,Drought,97-128,97-128,65-96,115,109,81,#736d51,275216,1307035,21.1
2021-11-19,PIPO10,Ambient+HW,Drought,129-160,129-160,97-128,147,141,113,#938d71,246273,1250648,19.7
2021-11-19,PIPO39,Ambient,Drought,129-160,129-160,97-128,147,141,113,#938d71,183419,952352,19.3
2021-11-19,PIPO34,Ambient+HW,Drought,129-160,129-160,97-128,147,141,113,#938d71,248192,1307035,19
2021-11-19,PIPO49,Ambient,Drought,97-128,97-128,65-96,114,111,80,#726f50,228320,1215365,18.8
2021-11-19,PIPO23,Ambient+HW,Drought,129-160,129-160,97-128,148,139,113,#948b71,223655,1202991,18.6
2021-11-19,PIPO39,Ambient,Drought,97-128,97-128,65-96,116,109,81,#746d51,169177,952352,17.8
2021-11-19,PIPO29,Ambient+HW,Drought,129-160,129-160,97-128,147,141,113,#938d71,202408,1182281,17.1
2021-11-19,PIPO10,Ambient+HW,Drought,97-128,97-128,65-96,115,109,81,#736d51,212223,1250648,17
2021-11-19,PIPO44,Ambient,Drought,65-96,65-96,33-64,83,76,50,#534c32,114074,674677,16.9
2021-11-19,PIPO45,Ambient,Drought,129-160,129-160,97-128,148,139,113,#948b71,156456,1007482,15.5
2021-11-19,PIPO42,Ambient+HW,Drought,161-192,129-160,97-128,175,146,113,#af9271,102799,677501,15.2
2021-11-19,PIPO29,Ambient+HW,Drought,161-192,161-192,129-160,179,173,145,#b3ad91,173461,1182281,14.7
2021-11-19,PIPO44,Ambient,Drought,129-160,129-160,97-128,147,140,113,#938c71,95300,674677,14.1
2021-11-19,PIPO44,Ambient,Drought,97-128,97-128,65-96,115,108,81,#736c51,95189,674677,14.1
2021-11-19,PIPO42,Ambient+HW,Drought,129-160,97-128,65-96,144,113,80,#907150,91898,677501,13.6
2021-11-19,PIPO10,Ambient+HW,Drought,161-192,161-192,129-160,178,174,145,#b2ae91,146228,1250648,11.7
2021-11-19,PIPO29,Ambient+HW,Drought,193-224,193-224,161-192,210,204,177,#d2ccb1,135506,1182281,11.5
2021-11-19,PIPO34,Ambient+HW,Drought,65-96,65-96,33-64,83,76,50,#534c32,149082,1307035,11.4
2021-11-19,PIPO23,Ambient+HW,Drought,161-192,161-192,129-160,180,171,145,#b4ab91,133895,1202991,11.1
2021-11-19,PIPO45,Ambient,Drought,97-128,97-128,65-96,116,107,81,#746b51,110756,1007482,11
2021-11-19,PIPO39,Ambient,Drought,65-96,65-96,33-64,84,76,49,#544c31,97728,952352,10.3
2021-11-19,PIPO29,Ambient+HW,Drought,97-128,97-128,65-96,116,108,81,#746c51,119356,1182281,10.1
2021-11-19,PIPO23,Ambient+HW,Drought,97-128,97-128,65-96,117,107,81,#756b51,117739,1202991,9.8
2021-11-19,PIPO45,Ambient,Drought,161-192,161-192,129-160,180,171,145,#b4ab91,96983,1007482,9.6
2021-11-19,PIPO42,Ambient+HW,Drought,129-160,129-160,97-128,148,138,115,#948a73,61806,677501,9.1
2021-11-19,PIPO39,Ambient,Drought,161-192,161-192,129-160,179,173,145,#b3ad91,85489,952352,9
2021-11-19,PIPO10,Ambient+HW,Drought,65-96,65-96,33-64,84,76,49,#544c31,111760,1250648,8.9
2021-11-19,PIPO45,Ambient,Drought,129-160,97-128,65-96,141,116,81,#8d7451,89460,1007482,8.9
2021-11-19,PIPO49,Ambient,Drought,65-96,65-96,33-64,82,79,49,#524f31,101067,1215365,8.3
2021-11-19,PIPO34,Ambient+HW,Drought,161-192,161-192,129-160,179,173,145,#b3ad91,107540,1307035,8.2
2021-11-19,PIPO49,Ambient,Drought,161-192,161-192,129-160,176,176,144,#b0b090,94478,1215365,7.8
2021-11-19,PIPO42,Ambient+HW,Drought,161-192,161-192,129-160,180,170,146,#b4aa92,49162,677501,7.3
2021-11-19,PIPO23,Ambient+HW,Drought,129-160,97-128,65-96,141,115,81,#8d7351,86292,1202991,7.2
2021-11-19,PIPO42,Ambient+HW,Drought,193-224,161-192,129-160,205,179,145,#cdb391,48376,677501,7.1
2021-11-19,PIPO49,Ambient,Drought,97-128,97-128,97-128,117,117,106,#75756a,86372,1215365,7.1
2021-11-19,PIPO45,Ambient,Drought,161-192,129-160,97-128,173,148,113,#ad9471,70263,1007482,7
2021-11-19,PIPO23,Ambient+HW,Drought,193-224,193-224,161-192,211,203,177,#d3cbb1,78752,1202991,6.5
2021-11-19,PIPO34,Ambient+HW,Drought,97-128,97-128,97-128,118,116,106,#76746a,83688,1307035,6.4
2021-11-19,PIPO23,Ambient+HW,Drought,161-192,129-160,97-128,172,148,113,#ac9471,68924,1202991,5.7
2021-11-19,PIPO42,Ambient+HW,Drought,129-160,97-128,97-128,141,122,107,#8d7a6b,37607,677501,5.6
2021-11-19,PIPO42,Ambient+HW,Drought,161-192,129-160,129-160,172,154,139,#ac9a8b,37668,677501,5.6
2021-11-19,PIPO10,Ambient+HW,Drought,193-224,193-224,161-192,209,205,177,#d1cdb1,68911,1250648,5.5
2021-11-19,PIPO45,Ambient,Drought,97-128,65-96,33-64,110,83,49,#6e5331,55730,1007482,5.5
2021-11-19,PIPO42,Ambient+HW,Drought,97-128,65-96,33-64,113,79,50,#714f32,36463,677501,5.4
2021-11-19,PIPO44,Ambient,Drought,97-128,97-128,97-128,118,116,106,#76746a,36767,674677,5.4
2021-11-19,PIPO39,Ambient,Drought,97-128,65-96,33-64,107,84,51,#6b5433,50041,952352,5.3
2021-11-19,PIPO39,Ambient,Drought,129-160,97-128,65-96,138,117,82,#8a7552,49764,952352,5.2
2021-11-19,PIPO45,Ambient,Drought,193-224,193-224,161-192,212,203,177,#d4cbb1,51230,1007482,5.1
2021-11-19,PIPO29,Ambient+HW,Drought,129-160,97-128,65-96,142,115,80,#8e7350,59094,1182281,5
