Date,SpeciesID,Treatment_temp,Treatment_water,red_class,green_class,blue_class,red,green,blue,col_hex,col_freq,col_total,col_share
2021-10-21,PIPO34,Ambient+HW,Drought,97-128,129-160,97-128,116,143,111,#748f6f,193899,938912,20.7
2021-10-21,PIPO49,Ambient,Drought,97-128,129-160,97-128,116,143,111,#748f6f,112505,587922,19.1
2021-10-21,PIPO49,Ambient,Drought,65-96,97-128,65-96,84,112,78,#54704e,90721,587922,15.4
2021-10-21,PIPO39,Ambient,Drought,65-96,97-128,65-96,83,112,78,#53704e,154878,1027857,15.1
2021-10-21,PIPO10,Ambient+HW,Drought,97-128,129-160,97-128,119,142,111,#778e6f,162991,1100123,14.8
2021-10-21,PIPO34,Ambient+HW,Drought,65-96,97-128,65-96,85,111,78,#556f4e,139257,938912,14.8
2021-10-21,PIPO23,Ambient+HW,Drought,129-160,129-160,97-128,144,143,114,#908f72,128739,891006,14.4
2021-10-21,PIPO44,Ambient,Drought,33-64,65-96,33-64,52,79,47,#344f2f,84123,582579,14.4
2021-10-21,PIPO44,Ambient,Drought,65-96,97-128,65-96,83,111,79,#536f4f,82853,582579,14.2
2021-10-21,PIPO42,Ambient+HW,Drought,129-160,129-160,97-128,147,140,114,#938c72,143049,1038081,13.8
2021-10-21,PIPO39,Ambient,Drought,97-128,129-160,97-128,116,143,110,#748f6e,140591,1027857,13.7
2021-10-21,PIPO23,Ambient+HW,Drought,97-128,97-128,65-96,113,111,82,#716f52,117378,891006,13.2
2021-10-21,PIPO42,Ambient+HW,Drought,161-192,161-192,129-160,179,172,146,#b3ac92,134927,1038081,13
2021-10-21,PIPO14,Ambient,Drought,97-128,129-160,97-128,115,142,112,#738e70,67754,562182,12.1
2021-10-21,PIPO44,Ambient,Drought,97-128,129-160,97-128,116,142,112,#748e70,68368,582579,11.7
2021-10-21,PIPO10,Ambient+HW,Drought,65-96,97-128,65-96,87,110,78,#576e4e,116780,1100123,10.6
2021-10-21,PIPO39,Ambient,Drought,33-64,65-96,33-64,52,80,46,#34502e,109229,1027857,10.6
2021-10-21,PIPO45,Ambient,Drought,129-160,129-160,97-128,144,145,112,#909170,76590,756974,10.1
2021-10-21,PIPO23,Ambient+HW,Drought,129-160,129-160,129-160,146,150,138,#92968a,86160,891006,9.7
2021-10-21,PIPO29,Ambient+HW,Drought,65-96,97-128,33-64,81,111,51,#516f33,88496,928535,9.5
2021-10-21,PIPO42,Ambient+HW,Drought,193-224,193-224,161-192,210,203,178,#d2cbb2,97818,1038081,9.4
2021-10-21,PIPO45,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,70965,756974,9.4
2021-10-21,PIPO29,Ambient+HW,Drought,97-128,129-160,97-128,118,143,110,#768f6e,86084,928535,9.3
