Date,SpeciesID,Treatment_temp,Treatment_water,red_class,green_class,blue_class,red,green,blue,col_hex,col_freq,col_total,col_share
2021-08-26,PIPO49,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,188906,1250962,15.1
2021-08-26,PIPO49,Ambient,Drought,97-128,129-160,65-96,115,141,81,#738d51,171930,1250962,13.7
2021-08-26,PIPO39,Ambient,Drought,97-128,129-160,65-96,115,142,80,#738e50,203396,1532680,13.3
2021-08-26,PIPO34,Ambient+HW,Drought,97-128,97-128,65-96,112,114,80,#707250,210528,1622553,13
2021-08-26,PIPO45,Ambient,Drought,129-160,129-160,97-128,144,145,112,#909170,151647,1170964,13
2021-08-26,PIPO14,Ambient,Drought,129-160,129-160,97-128,143,146,112,#8f9270,158533,1254994,12.6
2021-08-26,PIPO39,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,192865,1532680,12.6
2021-08-26,PIPO44,Ambient,Drought,97-128,97-128,65-96,112,113,81,#707151,187033,1505939,12.4
2021-08-26,PIPO44,Ambient,Drought,65-96,65-96,33-64,79,81,49,#4f5131,184044,1505939,12.2
2021-08-26,PIPO49,Ambient,Drought,65-96,97-128,33-64,83,109,50,#536d32,149721,1250962,12
2021-08-26,PIPO14,Ambient,Drought,97-128,97-128,65-96,112,114,80,#707250,149337,1254994,11.9
2021-08-26,PIPO10,Ambient+HW,Drought,97-128,97-128,65-96,112,113,80,#707150,185219,1571147,11.8
2021-08-26,PIPO10,Ambient+HW,Drought,65-96,97-128,33-64,84,111,47,#546f2f,181620,1571147,11.6
2021-08-26,PIPO39,Ambient,Drought,129-160,129-160,97-128,144,145,112,#909170,174540,1532680,11.4
2021-08-26,PIPO34,Ambient+HW,Drought,129-160,129-160,97-128,142,147,112,#8e9370,182895,1622553,11.3
2021-08-26,PIPO34,Ambient+HW,Drought,97-128,129-160,65-96,116,141,80,#748d50,181083,1622553,11.2
2021-08-26,PIPO23,Ambient+HW,Drought,97-128,129-160,65-96,115,143,80,#738f50,189766,1706002,11.1
