Date,SpeciesID,Treatment_temp,Treatment_water,red_class,green_class,blue_class,red,green,blue,col_hex,col_freq,col_total,col_share
2021-11-05,PIPO10,Ambient+HW,Drought,129-160,129-160,97-128,146,141,113,#928d71,162602,762244,21.3
2021-11-05,PIPO29,Ambient+HW,Drought,129-160,129-160,97-128,147,142,113,#938e71,157125,825714,19
2021-11-05,PIPO10,Ambient+HW,Drought,97-128,97-128,65-96,115,109,81,#736d51,141452,762244,18.6
2021-11-05,PIPO23,Ambient+HW,Drought,129-160,129-160,97-128,148,139,113,#948b71,151264,830631,18.2
2021-11-05,PIPO39,Ambient,Drought,97-128,97-128,65-96,113,112,80,#717050,86075,485916,17.7
2021-11-05,PIPO34,Ambient+HW,Drought,129-160,129-160,97-128,145,141,114,#918d72,116616,675689,17.3
2021-11-05,PIPO34,Ambient+HW,Drought,97-128,97-128,65-96,115,109,81,#736d51,114269,675689,16.9
2021-11-05,PIPO45,Ambient,Drought,129-160,129-160,97-128,148,139,114,#948b72,118161,763732,15.5
2021-11-05,PIPO44,Ambient,Drought,65-96,65-96,33-64,80,80,49,#505031,83299,543614,15.3
2021-11-05,PIPO34,Ambient+HW,Drought,65-96,65-96,33-64,83,77,49,#534d31,100102,675689,14.8
2021-11-05,PIPO44,Ambient,Drought,97-128,97-128,65-96,112,112,81,#707051,79307,543614,14.6
2021-11-05,PIPO39,Ambient,Drought,129-160,129-160,97-128,144,144,112,#909070,69779,485916,14.4
2021-11-05,PIPO39,Ambient,Drought,65-96,65-96,33-64,81,80,48,#515030,69503,485916,14.3
2021-11-05,PIPO14,Ambient,Drought,129-160,129-160,97-128,148,139,114,#948b72,56426,396429,14.2
2021-11-05,PIPO29,Ambient+HW,Drought,161-192,161-192,129-160,178,174,145,#b2ae91,117608,825714,14.2
2021-11-05,PIPO49,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,95035,672590,14.1
2021-11-05,PIPO42,Ambient+HW,Drought,161-192,129-160,97-128,175,145,113,#af9171,101114,759604,13.3
2021-11-05,PIPO23,Ambient+HW,Drought,161-192,161-192,129-160,180,172,145,#b4ac91,105241,830631,12.7
2021-11-05,PIPO44,Ambient,Drought,129-160,129-160,97-128,144,143,113,#908f71,67618,543614,12.4
2021-11-05,PIPO29,Ambient+HW,Drought,97-128,97-128,65-96,115,109,81,#736d51,96734,825714,11.7
2021-11-05,PIPO34,Ambient+HW,Drought,97-128,97-128,97-128,118,116,106,#76746a,78721,675689,11.7
2021-11-05,PIPO23,Ambient+HW,Drought,97-128,97-128,65-96,117,107,81,#756b51,93283,830631,11.2
2021-11-05,PIPO49,Ambient,Drought,97-128,129-160,97-128,119,142,109,#778e6d,74667,672590,11.1
2021-11-05,PIPO10,Ambient+HW,Drought,65-96,65-96,33-64,83,77,49,#534d31,82122,762244,10.8
2021-11-05,PIPO42,Ambient+HW,Drought,129-160,97-128,65-96,144,112,81,#907051,81275,759604,10.7
2021-11-05,PIPO45,Ambient,Drought,97-128,97-128,65-96,116,107,82,#746b52,81165,763732,10.6
2021-11-05,PIPO29,Ambient+HW,Drought,193-224,193-224,161-192,209,205,177,#d1cdb1,79925,825714,9.7
2021-11-05,PIPO49,Ambient,Drought,129-160,129-160,97-128,143,145,113,#8f9171,65394,672590,9.7
2021-11-05,PIPO10,Ambient+HW,Drought,161-192,161-192,129-160,178,173,145,#b2ad91,71514,762244,9.4
2021-11-05,PIPO14,Ambient,Drought,97-128,97-128,65-96,116,107,82,#746b52,36216,396429,9.1
2021-11-05,PIPO42,Ambient+HW,Drought,193-224,161-192,129-160,206,178,145,#ceb291,69072,759604,9.1
2021-11-05,PIPO14,Ambient,Drought,129-160,97-128,65-96,142,113,82,#8e7152,35336,396429,8.9
2021-11-05,PIPO45,Ambient,Drought,129-160,97-128,65-96,141,115,82,#8d7352,65222,763732,8.5
2021-11-05,PIPO14,Ambient,Drought,161-192,161-192,129-160,179,171,146,#b3ab92,32908,396429,8.3
2021-11-05,PIPO49,Ambient,Drought,65-96,65-96,33-64,79,82,48,#4f5230,55118,672590,8.2
2021-11-05,PIPO42,Ambient+HW,Drought,129-160,129-160,97-128,149,137,115,#958973,61895,759604,8.1
2021-11-05,PIPO45,Ambient,Drought,161-192,161-192,129-160,180,171,146,#b4ab92,62137,763732,8.1
2021-11-05,PIPO34,Ambient+HW,Drought,129-160,129-160,129-160,149,148,138,#95948a,54385,675689,8
2021-11-05,PIPO49,Ambient,Drought,65-96,97-128,65-96,87,111,77,#576f4d,53694,672590,8
2021-11-05,PIPO49,Ambient,Drought,65-96,97-128,33-64,82,108,52,#526c34,52782,672590,7.8
2021-11-05,PIPO23,Ambient+HW,Drought,193-224,193-224,161-192,211,203,178,#d3cbb2,60807,830631,7.3
2021-11-05,PIPO42,Ambient+HW,Drought,161-192,161-192,129-160,181,169,146,#b5a992,53329,759604,7
2021-11-05,PIPO14,Ambient,Drought,161-192,129-160,97-128,174,146,114,#ae9272,26082,396429,6.6
2021-11-05,PIPO45,Ambient,Drought,97-128,65-96,33-64,110,82,51,#6e5233,50532,763732,6.6
2021-11-05,PIPO49,Ambient,Drought,97-128,129-160,65-96,115,139,83,#738b53,42756,672590,6.4
2021-11-05,PIPO14,Ambient,Drought,97-128,65-96,33-64,111,81,51,#6f5133,24818,396429,6.3
2021-11-05,PIPO44,Ambient,Drought,33-64,33-64,1-32,50,49,20,#323114,33800,543614,6.2
2021-11-05,PIPO45,Ambient,Drought,161-192,129-160,97-128,173,147,114,#ad9372,47023,763732,6.2
2021-11-05,PIPO14,Ambient,Drought,129-160,129-160,129-160,150,147,138,#96938a,23378,396429,5.9
2021-11-05,PIPO42,Ambient+HW,Drought,161-192,129-160,129-160,173,154,139,#ad9a8b,44608,759604,5.9
2021-11-05,PIPO10,Ambient+HW,Drought,129-160,129-160,129-160,150,148,137,#969489,43979,762244,5.8
2021-11-05,PIPO29,Ambient+HW,Drought,129-160,129-160,129-160,150,148,138,#96948a,48070,825714,5.8
2021-11-05,PIPO39,Ambient,Drought,161-192,161-192,129-160,175,177,143,#afb18f,26908,485916,5.5
2021-11-05,PIPO49,Ambient,Drought,97-128,97-128,97-128,114,119,105,#727769,37179,672590,5.5
2021-11-05,PIPO23,Ambient+HW,Drought,129-160,129-160,129-160,150,147,138,#96938a,45141,830631,5.4
2021-11-05,PIPO44,Ambient,Drought,97-128,97-128,97-128,117,117,106,#75756a,29023,543614,5.3
2021-11-05,PIPO45,Ambient,Drought,65-96,65-96,33-64,85,74,50,#554a32,39387,763732,5.2
2021-11-05,PIPO39,Ambient,Drought,97-128,129-160,65-96,120,136,82,#788852,24733,485916,5.1
2021-11-05,PIPO10,Ambient+HW,Drought,97-128,97-128,97-128,119,116,106,#77746a,38373,762244,5
2021-11-05,PIPO42,Ambient+HW,Drought,129-160,97-128,97-128,141,121,107,#8d796b,37752,759604,5
2021-11-05,PIPO45,Ambient,Drought,129-160,129-160,129-160,150,147,138,#96938a,38507,763732,5
2021-11-05,PIPO34,Ambient+HW,Drought,161-192,161-192,129-160,176,173,147,#b0ad93,32812,675689,4.9
2021-11-05,PIPO42,Ambient+HW,Drought,193-224,193-224,161-192,213,201,178,#d5c9b2,37134,759604,4.9
2021-11-05,PIPO45,Ambient,Drought,129-160,97-128,97-128,140,122,107,#8c7a6b,37535,763732,4.9
2021-11-05,PIPO39,Ambient,Drought,65-96,97-128,33-64,89,103,51,#596733,23499,485916,4.8
2021-11-05,PIPO49,Ambient,Drought,33-64,65-96,33-64,55,79,45,#374f2d,32516,672590,4.8
2021-11-05,PIPO29,Ambient+HW,Drought,65-96,65-96,33-64,84,77,49,#544d31,38590,825714,4.7
2021-11-05,PIPO23,Ambient+HW,Drought,129-160,97-128,97-128,140,122,107,#8c7a6b,36789,830631,4.4
2021-11-05,PIPO44,Ambient,Drought,129-160,129-160,129-160,148,149,137,#949589,23340,543614,4.3
2021-11-05,PIPO14,Ambient,Drought,97-128,97-128,97-128,119,115,106,#77736a,16621,396429,4.2
2021-11-05,PIPO42,Ambient+HW,Drought,97-128,65-96,33-64,113,79,50,#714f32,31825,759604,4.2
2021-11-05,PIPO23,Ambient+HW,Drought,97-128,97-128,97-128,119,115,106,#77736a,33216,830631,4
2021-11-05,PIPO45,Ambient,Drought,161-192,129-160,129-160,172,154,139,#ac9a8b,30315,763732,4
2021-11-05,PIPO14,Ambient,Drought,129-160,97-128,97-128,141,122,106,#8d7a6a,15382,396429,3.9
2021-11-05,PIPO44,Ambient,Drought,129-160,97-128,65-96,140,115,82,#8c7352,21254,543614,3.9
2021-11-05,PIPO10,Ambient+HW,Drought,193-224,193-224,161-192,209,204,178,#d1ccb2,28623,762244,3.8
2021-11-05,PIPO23,Ambient+HW,Drought,129-160,97-128,65-96,140,115,83,#8c7353,31888,830631,3.8
2021-11-05,PIPO39,Ambient,Drought,97-128,97-128,33-64,106,110,57,#6a6e39,18283,485916,3.8
2021-11-05,PIPO44,Ambient,Drought,97-128,129-160,97-128,123,137,109,#7b896d,20538,543614,3.8
