Date,SpeciesID,Treatment_temp,Treatment_water,red_class,green_class,blue_class,red,green,blue,col_hex,col_freq,col_total,col_share
2021-10-07,PIPO49,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,168438,852652,19.8
2021-10-07,PIPO34,Ambient+HW,Drought,97-128,97-128,65-96,112,113,80,#707150,352352,1994597,17.7
2021-10-07,PIPO39,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,158031,993086,15.9
2021-10-07,PIPO39,Ambient,Drought,65-96,65-96,33-64,79,81,49,#4f5131,152361,993086,15.3
2021-10-07,PIPO44,Ambient,Drought,65-96,65-96,33-64,80,80,49,#505031,170485,1111401,15.3
2021-10-07,PIPO10,Ambient+HW,Drought,65-96,65-96,33-64,80,81,48,#505130,210814,1394784,15.1
2021-10-07,PIPO23,Ambient+HW,Drought,97-128,97-128,65-96,112,113,80,#707150,282405,1906687,14.8
2021-10-07,PIPO45,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,164940,1154285,14.3
2021-10-07,PIPO44,Ambient,Drought,97-128,97-128,65-96,112,112,81,#707051,154931,1111401,13.9
2021-10-07,PIPO10,Ambient+HW,Drought,97-128,97-128,65-96,112,113,80,#707150,187561,1394784,13.4
2021-10-07,PIPO14,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,158276,1236586,12.8
2021-10-07,PIPO23,Ambient+HW,Drought,65-96,65-96,33-64,80,81,48,#505130,238978,1906687,12.5
2021-10-07,PIPO34,Ambient+HW,Drought,65-96,65-96,33-64,80,81,49,#505131,239221,1994597,12
2021-10-07,PIPO45,Ambient,Drought,65-96,65-96,33-64,80,81,48,#505130,134531,1154285,11.7
2021-10-07,PIPO29,Ambient+HW,Drought,65-96,97-128,33-64,84,110,48,#546e30,138550,1197341,11.6
2021-10-07,PIPO29,Ambient+HW,Drought,65-96,65-96,33-64,80,82,48,#505230,137757,1197341,11.5
2021-10-07,PIPO34,Ambient+HW,Drought,65-96,97-128,33-64,83,109,50,#536d32,223571,1994597,11.2
2021-10-07,PIPO49,Ambient,Drought,65-96,65-96,33-64,80,81,48,#505130,95400,852652,11.2
2021-10-07,PIPO29,Ambient+HW,Drought,97-128,129-160,65-96,116,142,80,#748e50,130824,1197341,10.9
2021-10-07,PIPO49,Ambient,Drought,65-96,97-128,33-64,83,108,50,#536c32,92359,852652,10.8
2021-10-07,PIPO29,Ambient+HW,Drought,97-128,97-128,65-96,112,113,80,#707150,115818,1197341,9.7
2021-10-07,PIPO45,Ambient,Drought,129-160,129-160,97-128,144,145,112,#909170,111957,1154285,9.7
