Date,SpeciesID,Treatment_temp,Treatment_water,red_class,green_class,blue_class,red,green,blue,col_hex,col_freq,col_total,col_share
2021-09-16,PIPO49,Ambient,Drought,65-96,97-128,65-96,84,112,78,#54704e,291675,1481815,19.7
2021-09-16,PIPO44,Ambient,Drought,65-96,97-128,65-96,84,111,79,#546f4f,247717,1330557,18.6
2021-09-16,PIPO14,Ambient,Drought,97-128,129-160,97-128,115,144,111,#73906f,231364,1352400,17.1
2021-09-16,PIPO44,Ambient,Drought,33-64,65-96,33-64,53,79,47,#354f2f,219747,1330557,16.5
2021-09-16,PIPO34,Ambient+HW,Drought,97-128,129-160,97-128,117,143,111,#758f6f,234196,1533243,15.3
2021-09-16,PIPO39,Ambient,Drought,65-96,97-128,65-96,85,111,78,#556f4e,191438,1326007,14.4
2021-09-16,PIPO23,Ambient+HW,Drought,97-128,129-160,97-128,116,144,110,#74906e,256250,1835670,14
2021-09-16,PIPO29,Ambient+HW,Drought,65-96,97-128,33-64,82,111,49,#526f31,212652,1554758,13.7
2021-09-16,PIPO42,Ambient+HW,Drought,65-96,97-128,33-64,82,111,49,#526f31,162194,1258303,12.9
2021-09-16,PIPO34,Ambient+HW,Drought,65-96,97-128,65-96,86,111,78,#566f4e,189333,1533243,12.3
2021-09-16,PIPO23,Ambient+HW,Drought,65-96,97-128,65-96,84,112,78,#54704e,223450,1835670,12.2
2021-09-16,PIPO49,Ambient,Drought,97-128,129-160,97-128,116,143,111,#748f6f,180682,1481815,12.2
2021-09-16,PIPO14,Ambient,Drought,65-96,97-128,65-96,83,112,78,#53704e,163962,1352400,12.1
2021-09-16,PIPO42,Ambient+HW,Drought,97-128,129-160,65-96,115,142,80,#738e50,148344,1258303,11.8
2021-09-16,PIPO10,Ambient+HW,Drought,97-128,129-160,97-128,118,143,110,#768f6e,185628,1623523,11.4
2021-09-16,PIPO39,Ambient,Drought,97-128,129-160,97-128,117,143,110,#758f6e,150482,1326007,11.3
2021-09-16,PIPO29,Ambient+HW,Drought,97-128,129-160,65-96,114,142,81,#728e51,168783,1554758,10.9
2021-09-16,PIPO34,Ambient+HW,Drought,97-128,97-128,65-96,112,113,81,#707151,165761,1533243,10.8
2021-09-16,PIPO45,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,126292,1240543,10.2
2021-09-16,PIPO10,Ambient+HW,Drought,65-96,65-96,33-64,79,81,49,#4f5131,162348,1623523,10
2021-09-16,PIPO45,Ambient,Drought,97-128,129-160,97-128,118,143,110,#768f6e,124505,1240543,10
2021-09-16,PIPO49,Ambient,Drought,65-96,97-128,33-64,81,110,51,#516e33,146635,1481815,9.9
2021-09-16,PIPO44,Ambient,Drought,97-128,129-160,97-128,116,142,112,#748e70,130976,1330557,9.8
2021-09-16,PIPO10,Ambient+HW,Drought,65-96,97-128,33-64,80,112,50,#507032,158288,1623523,9.7
2021-09-16,PIPO39,Ambient,Drought,33-64,65-96,33-64,53,79,46,#354f2e,127077,1326007,9.6
2021-09-16,PIPO45,Ambient,Drought,129-160,129-160,97-128,144,145,112,#909170,118592,1240543,9.6
2021-09-16,PIPO49,Ambient,Drought,97-128,129-160,65-96,114,142,82,#728e52,141666,1481815,9.6
2021-09-16,PIPO23,Ambient+HW,Drought,33-64,65-96,33-64,53,80,46,#35502e,174789,1835670,9.5
2021-09-16,PIPO44,Ambient,Drought,97-128,97-128,97-128,112,119,107,#70776b,126588,1330557,9.5
2021-09-16,PIPO49,Ambient,Drought,97-128,97-128,65-96,111,113,81,#6f7151,138872,1481815,9.4
2021-09-16,PIPO14,Ambient,Drought,97-128,97-128,65-96,112,113,80,#707150,123127,1352400,9.1
2021-09-16,PIPO29,Ambient+HW,Drought,97-128,129-160,97-128,118,143,109,#768f6d,142058,1554758,9.1
2021-09-16,PIPO39,Ambient,Drought,65-96,97-128,33-64,80,110,52,#506e34,121151,1326007,9.1
