Week,Date,Species,SpeciesID,Treatment_temp,Treatment_water,red_class,green_class,blue_class,red,green,blue,col_hex,col_freq,col_total,col_share
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,1-32,1-32,33-64,31,30,43,#1f1e2b,7,1571147,0
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,1-32,33-64,1-32,28,58,8,#1c3a08,411,1571147,0
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,1-32,33-64,33-64,31,36,39,#1f2427,11,1571147,0
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,1-32,65-96,1-32,29,70,9,#1d4609,195,1571147,0
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,129-160,129-160,147,151,137,#939789,25074,1571147,1.6
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,129-160,161-192,158,158,162,#9e9ea2,5,1571147,0
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,129-160,33-64,135,144,60,#87903c,240,1571147,0
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,129-160,65-96,140,144,84,#8c9054,42046,1571147,2.7
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,129-160,97-128,142,146,112,#8e9270,155850,1571147,9.9
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,161-192,129-160,153,173,139,#99ad8b,35688,1571147,2.3
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,161-192,161-192,160,162,164,#a0a2a4,4,1571147,0
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,161-192,33-64,134,169,60,#86a93c,156,1571147,0
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,161-192,65-96,142,172,85,#8eac55,27470,1571147,1.7
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,161-192,97-128,148,174,112,#94ae70,103899,1571147,6.6
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,193-224,129-160,157,196,136,#9dc488,75,1571147,0
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,193-224,65-96,157,195,90,#9dc35a,27,1571147,0
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,193-224,97-128,157,196,114,#9dc472,435,1571147,0
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,65-96,33-64,134,89,53,#865935,425,1571147,0
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,65-96,65-96,133,94,69,#855e45,60,1571147,0
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,97-128,129-160,132,128,133,#848085,3,1571147,0
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,97-128,33-64,137,111,56,#896f38,432,1571147,0
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,97-128,65-96,138,117,81,#8a7551,5222,1571147,0.3
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,97-128,97-128,137,123,106,#897b6a,1088,1571147,0.1
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,161-192,129-160,129-160,166,156,138,#a69c8a,213,1571147,0
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,161-192,129-160,161-192,162,157,161,#a29da1,1,1571147,0
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,161-192,129-160,33-64,167,136,58,#a7883a,15,1571147,0
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,161-192,129-160,65-96,168,144,90,#a8905a,335,1571147,0
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,161-192,129-160,97-128,169,150,109,#a9966d,1270,1571147,0.1
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,161-192,161-192,129-160,172,180,144,#acb490,50659,1571147,3.2
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,161-192,161-192,161-192,178,183,169,#b2b7a9,6293,1571147,0.4
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,161-192,161-192,193-224,190,191,194,#bebfc2,3,1571147,0
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,161-192,161-192,65-96,165,173,92,#a5ad5c,57,1571147,0
