Week,Date,Species,SpeciesID,Treatment_temp,Treatment_water,red_class,green_class,blue_class,red,green,blue,col_hex,col_freq,col_total,col_share
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,97-128,97-128,65-96,112,113,80,#707150,185219,1493285,12.4
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,65-96,97-128,33-64,84,111,47,#546f2f,181620,1493285,12.2
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,65-96,65-96,33-64,80,81,48,#505130,171061,1493285,11.5
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,129-160,97-128,142,146,112,#8e9270,155850,1493285,10.4
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,97-128,129-160,65-96,116,142,79,#748e4f,147858,1493285,9.9
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,161-192,97-128,148,174,112,#94ae70,103899,1493285,7
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,97-128,97-128,33-64,108,113,54,#6c7136,64090,1493285,4.3
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,33-64,65-96,1-32,52,79,17,#344f11,55756,1493285,3.7
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,161-192,161-192,129-160,172,180,144,#acb490,50659,1493285,3.4
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,97-128,129-160,33-64,111,141,54,#6f8d36,44430,1493285,3
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,129-160,65-96,140,144,84,#8c9054,42046,1493285,2.8
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,161-192,129-160,153,173,139,#99ad8b,35688,1493285,2.4
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,97-128,129-160,97-128,122,141,107,#7a8d6b,36569,1493285,2.4
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,65-96,65-96,1-32,76,80,25,#4c5019,30077,1493285,2
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,129-160,161-192,65-96,142,172,85,#8eac55,27470,1493285,1.8
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,65-96,97-128,65-96,90,109,74,#5a6d4a,23645,1493285,1.6
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,65-96,97-128,1-32,78,109,25,#4e6d19,20641,1493285,1.4
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,33-64,33-64,1-32,50,51,17,#323311,18927,1493285,1.3
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,161-192,161-192,97-128,170,177,117,#aab175,13484,1493285,0.9
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,161-192,193-224,129-160,180,203,145,#b4cb91,13542,1493285,0.9
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,33-64,65-96,33-64,58,78,42,#3a4e2a,12788,1493285,0.9
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,161-192,161-192,161-192,178,183,169,#b2b7a9,6293,1493285,0.4
1,2021-08-26,PIPO,PIPO10,Ambient+HW,Drought,65-96,129-160,33-64,92,133,50,#5c8532,6417,1493285,0.4
